Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
11,"0.5512986779212952,0.2826165556907654","0.563171923160553,0.27219924330711365","0.571083128452301,0.2723797857761383","0.5773961544036865,0.27253106236457825","0.5403298139572144,0.2721012234687805","0.5319815874099731,0.27252262830734253","0.5235604643821716,0.27317407727241516","0.5870983004570007,0.27837976813316345","0.5140949487686157,0.2796994745731354","0.565328061580658,0.29452961683273315","0.5345605611801147,0.2949320375919342","0.6481478214263916,0.3484933078289032","0.456950306892395,0.35402074456214905","0.6815551519393921,0.43729305267333984","0.44831064343452454,0.4423305094242096","0.682936429977417,0.5186246037483215","0.4383659064769745,0.5226010084152222","0.6884152889251709,0.5418664813041687","0.4393051266670227,0.5458957552909851","0.6751580834388733,0.5402454137802124","0.4510919451713562,0.5450825095176697","0.6697940230369568,0.5337652564048767","0.4554828703403473,0.5380979180335999","0.6108984351158142,0.5140767097473145","0.5051541924476624,0.5125423669815063","0.5979449152946472,0.6512519121170044","0.530188798904419,0.6362433433532715","0.6011977791786194,0.7706254720687866","0.5504777431488037,0.7424240708351135","0.5988712906837463,0.7838431000709534","0.562847912311554,0.7534363865852356","0.6177216172218323,0.8159257769584656","0.5121310949325562,0.7752191424369812"
12,"0.551418662071228,0.28196123242378235","0.563317596912384,0.2713623046875","0.5711857676506042,0.27146297693252563","0.5773992538452148,0.27166932821273804","0.5404902696609497,0.2713257372379303","0.5321611762046814,0.2717774510383606","0.5237664580345154,0.2724573314189911","0.5871565341949463,0.27755388617515564","0.513915479183197,0.2788410782814026","0.5654725432395935,0.2939388155937195","0.534700334072113,0.2944440245628357","0.6485707759857178,0.3481137156486511","0.4569604694843292,0.35451096296310425","0.682333767414093,0.4375644326210022","0.44812682271003723,0.4427874982357025","0.6846089363098145,0.520551860332489","0.43934670090675354,0.5230270624160767","0.6890764236450195,0.5438823103904724","0.4405931830406189,0.5466136932373047","0.6756840944290161,0.5419964790344238","0.45258551836013794,0.5456086993217468","0.670448362827301,0.5349318385124207","0.45697838068008423,0.5384353399276733","0.6124001145362854,0.5140578150749207","0.50690096616745,0.5123686790466309","0.5989540815353394,0.6509181261062622","0.5319119095802307,0.6358320713043213","0.6012309789657593,0.7702733874320984","0.5499413013458252,0.7416356205940247","0.5989563465118408,0.7830507159233093","0.5629108548164368,0.7531570196151733","0.6169390082359314,0.8165519833564758","0.5120194554328918,0.7752536535263062"
13,"0.5515414476394653,0.28101569414138794","0.5633666515350342,0.27051466703414917","0.5712737441062927,0.270625501871109","0.5774984955787659,0.2710140347480774","0.5406091809272766,0.27035751938819885","0.5322979688644409,0.27073848247528076","0.52394038438797,0.27143755555152893","0.5872858762741089,0.2771906852722168","0.5137493014335632,0.27786487340927124","0.5655738711357117,0.29323676228523254","0.534821093082428,0.2937154173851013","0.6499717235565186,0.34823742508888245","0.4566026031970978,0.35431814193725586","0.6839748024940491,0.43823719024658203","0.4480741322040558,0.4430271089076996","0.6868263483047485,0.5214426517486572","0.44035983085632324,0.5232560634613037","0.6903537511825562,0.5449293255805969","0.4416460394859314,0.5469071865081787","0.6765199303627014,0.5425228476524353","0.4538683295249939,0.5458546280860901","0.6714515089988708,0.5351647138595581","0.4582963287830353,0.5385982394218445","0.6142590641975403,0.5146363973617554","0.5083767175674438,0.5131403803825378","0.6006771922111511,0.6501473188400269","0.5327081680297852,0.6360355615615845","0.6015279293060303,0.7701785564422607","0.5498409867286682,0.7417847514152527","0.5999217629432678,0.7831178903579712","0.5635235905647278,0.7535404562950134","0.6155089735984802,0.8186491131782532","0.5117887258529663,0.7755111455917358"
14,"0.5514332056045532,0.27963465452194214","0.5634744167327881,0.26933345198631287","0.5713582634925842,0.2694738805294037","0.5775538682937622,0.2699695825576782","0.5405673384666443,0.2692027986049652","0.5322744846343994,0.2696041464805603","0.5238654017448425,0.270296573638916","0.5873639583587646,0.27649158239364624","0.5135878920555115,0.27678054571151733","0.5656445026397705,0.29202017188072205","0.5346078872680664,0.2923075556755066","0.650804877281189,0.34746628999710083","0.45672354102134705,0.3542012572288513","0.6867856383323669,0.4377478063106537","0.4483799338340759,0.4430406093597412","0.691823422908783,0.5208263397216797","0.4410722851753235,0.5228894948959351","0.6930432915687561,0.5441247224807739","0.4428755044937134,0.546440839767456","0.6786046624183655,0.5419906973838806","0.45479121804237366,0.5452796816825867","0.6742610335350037,0.5346697568893433","0.4591304361820221,0.5380083322525024","0.6166268587112427,0.5139886140823364","0.5102337598800659,0.5128058195114136","0.6027140617370605,0.6497923135757446","0.5344057083129883,0.63554847240448","0.6017833948135376,0.7703287601470947","0.5497364401817322,0.7416330575942993","0.6001052856445312,0.7828747034072876","0.5634597539901733,0.7533272504806519","0.6156136989593506,0.8217988014221191","0.5117059350013733,0.7756482362747192"
15,"0.5516136884689331,0.2788706421852112","0.5639711022377014,0.2686777710914612","0.571632444858551,0.26880621910095215","0.5777999758720398,0.26939791440963745","0.5406879782676697,0.26865142583847046","0.5324003100395203,0.26896944642066956","0.5239449739456177,0.2697400450706482","0.5880611538887024,0.2760612368583679","0.5136255621910095,0.27623599767684937","0.5659157037734985,0.2912759780883789","0.5346507430076599,0.29158103466033936","0.6521350145339966,0.34666597843170166","0.4569251239299774,0.35415107011795044","0.6892724633216858,0.4360567629337311","0.4486207664012909,0.44319257140159607","0.6992299556732178,0.5197141170501709","0.44160398840904236,0.5234913229942322","0.6981026530265808,0.5426759123802185","0.4443173408508301,0.5472991466522217","0.6833237409591675,0.5407097339630127","0.4560258984565735,0.5459159016609192","0.6796205043792725,0.5336235165596008","0.46003884077072144,0.5384793281555176","0.6193711757659912,0.5138421654701233","0.5123046040534973,0.5126294493675232","0.6058428287506104,0.6496970057487488","0.5353800058364868,0.6345977187156677","0.6027377843856812,0.7704885005950928","0.5497222542762756,0.7410293817520142","0.6006972193717957,0.7831297516822815","0.5634581446647644,0.752763569355011","0.6158350706100464,0.8227960467338562","0.5121339559555054,0.7753990292549133"
16,"0.5532678961753845,0.278091698884964","0.5660316944122314,0.26768621802330017","0.5729532241821289,0.267941415309906","0.5794627070426941,0.26859942078590393","0.5420857071876526,0.2676313519477844","0.5337994694709778,0.2678443193435669","0.5253468155860901,0.26853612065315247","0.5899559259414673,0.2752598524093628","0.5137325525283813,0.2750902771949768","0.5670084357261658,0.2905595600605011","0.5356037616729736,0.29096636176109314","0.6542540788650513,0.34623974561691284","0.4569866955280304,0.35383152961730957","0.6921030879020691,0.43472570180892944","0.44886451959609985,0.44309186935424805","0.7090012431144714,0.5191745758056641","0.4408436119556427,0.5229297280311584","0.7098541855812073,0.5415335893630981","0.44514161348342896,0.5466655492782593","0.6949151158332825,0.539482593536377","0.456379234790802,0.5449506640434265","0.6907893419265747,0.5327430367469788","0.45979371666908264,0.5375949144363403","0.621875524520874,0.514032781124115","0.5137527585029602,0.5127074122428894","0.6093587875366211,0.6504632830619812","0.5353298783302307,0.6348093748092651","0.6033127307891846,0.770635724067688","0.5502905249595642,0.7413350939750671","0.6011211276054382,0.7832461595535278","0.5639563202857971,0.7528727054595947","0.6159752607345581,0.8240582346916199","0.5132972002029419,0.7757676839828491"
17,"0.5541984438896179,0.2775586247444153","0.5674853920936584,0.2669564485549927","0.5742340683937073,0.26725226640701294","0.5812127590179443,0.26795321702957153","0.543166995048523,0.2669029235839844","0.5349429845809937,0.2670614421367645","0.5266633629798889,0.267670601606369","0.5923759341239929,0.2744995057582855","0.5143147110939026,0.27403539419174194","0.5678871870040894,0.28997868299484253","0.536427915096283,0.2902114987373352","0.6564757823944092,0.346269428730011","0.45793601870536804,0.3525838255882263","0.6968392729759216,0.43382611870765686","0.4490709602832794,0.44239869713783264","0.7158652544021606,0.5187205076217651","0.43867120146751404,0.5221741795539856","0.7146317958831787,0.5405442714691162","0.44433048367500305,0.5454598665237427","0.7012014389038086,0.5385532975196838","0.454866886138916,0.5437523126602173","0.6978342533111572,0.5320560336112976","0.45756834745407104,0.53662109375","0.6232515573501587,0.514286994934082","0.5145330429077148,0.5126787424087524","0.6116493344306946,0.651032030582428","0.5349690318107605,0.6354266405105591","0.6041191220283508,0.7708364129066467","0.550548255443573,0.7415750026702881","0.6019412875175476,0.7833558320999146","0.564575731754303,0.7530094385147095","0.6159917116165161,0.8254720568656921","0.5138315558433533,0.77607262134552"
18,"0.557912290096283,0.27662229537963867","0.5706257224082947,0.2658923864364624","0.5773028135299683,0.2662765383720398","0.5850337743759155,0.26686686277389526","0.5468347072601318,0.26582270860671997","0.5381083488464355,0.26603418588638306","0.5300194025039673,0.2665303349494934","0.5958720445632935,0.2734614610671997","0.5167138576507568,0.2731199264526367","0.5707423686981201,0.28937727212905884","0.5397257208824158,0.2894870638847351","0.6597077250480652,0.34645119309425354","0.46021583676338196,0.35137322545051575","0.7005752921104431,0.43344396352767944","0.44917428493499756,0.44171395897865295","0.721482515335083,0.5185807943344116","0.4349711537361145,0.5214832425117493","0.7209018468856812,0.540097713470459","0.44249865412712097,0.5450403094291687","0.7069627642631531,0.538347601890564","0.45139703154563904,0.5436390042304993","0.703479528427124,0.5319797992706299","0.45291802287101746,0.5364571809768677","0.6236969232559204,0.5148100852966309","0.5147613883018494,0.5130029916763306","0.6132233738899231,0.6513766050338745","0.5345004796981812,0.6360151767730713","0.60438472032547,0.7708593010902405","0.5506846308708191,0.7418369054794312","0.6021039485931396,0.7825066447257996","0.5647913813591003,0.7531025409698486","0.6160429120063782,0.8271528482437134","0.5140965580940247,0.7762840986251831"
19,"0.562687873840332,0.27475523948669434","0.5742793083190918,0.2643609344959259","0.5815805196762085,0.2645646035671234","0.5895410180091858,0.26495441794395447","0.5512691736221313,0.26442188024520874","0.5421251058578491,0.26470252871513367","0.533793568611145,0.2652149200439453","0.6001356244087219,0.27196329832077026","0.5200339555740356,0.2724260985851288","0.5745154619216919,0.2879642844200134","0.5449948906898499,0.2881309390068054","0.6630475521087646,0.34574899077415466","0.46527883410453796,0.3504204750061035","0.7030261754989624,0.43297916650772095","0.44931894540786743,0.44135135412216187","0.7278215885162354,0.5184930562973022","0.4303232729434967,0.5210798382759094","0.7280916571617126,0.5399736166000366","0.4393795430660248,0.5448892116546631","0.7136828303337097,0.5379528403282166","0.4473234713077545,0.5426536798477173","0.710381269454956,0.5315064191818237","0.44774508476257324,0.5355345010757446","0.6244489550590515,0.5145024061203003","0.5154549479484558,0.5124111175537109","0.6136312484741211,0.6516295671463013","0.5340617895126343,0.6376549601554871","0.6047163009643555,0.7709335088729858","0.5508982539176941,0.7421348690986633","0.6024625897407532,0.7826545834541321","0.5651138424873352,0.7533060908317566","0.616119384765625,0.8287944793701172","0.5146483778953552,0.7765195369720459"
20,"0.5669503211975098,0.27432218194007874","0.5779269933700562,0.26365169882774353","0.5858873724937439,0.2637578547000885","0.5935272574424744,0.2641333341598511","0.5550510883331299,0.26386457681655884","0.5458093285560608,0.26424652338027954","0.5373792052268982,0.26483914256095886","0.6048693656921387,0.2714219093322754","0.5239294171333313,0.2721852958202362","0.5785607099533081,0.28767627477645874","0.5498400926589966,0.28769540786743164","0.6685903668403625,0.34589383006095886","0.46861812472343445,0.3505391776561737","0.7074996829032898,0.43327584862709045","0.4494907259941101,0.4408021569252014","0.7326517701148987,0.5180032849311829","0.4232654273509979,0.5194777250289917","0.7316274642944336,0.5396904945373535","0.4328843355178833,0.5435312986373901","0.7174714803695679,0.5373961329460144","0.440938264131546,0.5402510166168213","0.7149162292480469,0.5309479236602783","0.4407367408275604,0.5330748558044434","0.6250750422477722,0.5146894454956055","0.5158891081809998,0.5126174092292786","0.6139930486679077,0.6519036293029785","0.5337225198745728,0.6398133039474487","0.6050245761871338,0.7710358500480652","0.5514923930168152,0.7422646284103394","0.6026152968406677,0.7828114032745361","0.5656193494796753,0.7531549334526062","0.6163262128829956,0.8293265104293823","0.5153036117553711,0.7767430543899536"
