Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
11,"0.5301825404167175,0.38258853554725647","0.5429511666297913,0.3715347945690155","0.5505807399749756,0.3714304566383362","0.5587408542633057,0.3714188039302826","0.5197761058807373,0.37233519554138184","0.5116733312606812,0.37264958024024963","0.5052430629730225,0.37299883365631104","0.570009171962738,0.37794017791748047","0.4984285533428192,0.38008826971054077","0.5466311573982239,0.3942019045352936","0.5150365829467773,0.3946250081062317","0.6317564845085144,0.44157901406288147","0.4423690438270569,0.449187695980072","0.6620200276374817,0.5210817456245422","0.43584883213043213,0.5283976197242737","0.6472790241241455,0.6013792753219604","0.43390485644340515,0.5969492197036743","0.6453049182891846,0.6259422898292542","0.4400395154953003,0.6182540059089661","0.6328351497650146,0.6243951320648193","0.4497910439968109,0.6171139478683472","0.6291444301605225,0.6168822050094604","0.45028847455978394,0.6101652383804321","0.5927467942237854,0.6130217909812927","0.48419368267059326,0.6145292520523071","0.5980705618858337,0.7532905340194702","0.5110100507736206,0.7464630007743835","0.6201366186141968,0.887134850025177","0.5522973537445068,0.8687995076179504","0.6143585443496704,0.9020639657974243","0.5669295787811279,0.8820416331291199","0.6342379450798035,0.9466435313224792","0.5066055059432983,0.9122161865234375"
12,"0.5307183265686035,0.38285011053085327","0.5433676242828369,0.3716922402381897","0.5509519577026367,0.37153273820877075","0.5590451955795288,0.3714821934700012","0.5201847553253174,0.37258675694465637","0.5120484232902527,0.37287551164627075","0.5052857995033264,0.37320026755332947","0.5700996518135071,0.37795206904411316","0.49851787090301514,0.38009825348854065","0.5470559597015381,0.39439478516578674","0.5155089497566223,0.3949437737464905","0.6316580176353455,0.4414639472961426","0.4426555633544922,0.44919127225875854","0.661091685295105,0.5210545063018799","0.4364543557167053,0.5284289121627808","0.6459590196609497,0.6018992066383362","0.43358755111694336,0.59670490026474","0.6441764235496521,0.6265465617179871","0.4398896396160126,0.6182305812835693","0.6316242218017578,0.6251809000968933","0.4492715299129486,0.6168969869613647","0.6279573440551758,0.6175842881202698","0.4496704638004303,0.6098838448524475","0.5925543308258057,0.6129554510116577","0.48391300439834595,0.6144839525222778","0.598182201385498,0.7530631422996521","0.511131227016449,0.7465609312057495","0.620173454284668,0.8867872357368469","0.5523318648338318,0.8692874908447266","0.6144012212753296,0.9014139175415039","0.5669509172439575,0.8822647333145142","0.6346665024757385,0.9462597966194153","0.5061076283454895,0.9123199582099915"
13,"0.5310680270195007,0.38306722044944763","0.543684184551239,0.37180009484291077","0.5512504577636719,0.3715990483760834","0.5592973232269287,0.37152570486068726","0.5204493403434753,0.3727860450744629","0.512272834777832,0.37307244539260864","0.5052496790885925,0.37338343262672424","0.5702151656150818,0.37796491384506226","0.49850454926490784,0.38010770082473755","0.5473365187644958,0.3945423662662506","0.5157231092453003,0.39525091648101807","0.631618082523346,0.44134846329689026","0.44273850321769714,0.4491441249847412","0.6608555316925049,0.5212098360061646","0.43629446625709534,0.5281478762626648","0.6450621485710144,0.6024768948554993","0.43299636244773865,0.5965385437011719","0.64328932762146,0.6272760629653931","0.4392085075378418,0.6179465055465698","0.6303249001502991,0.6258182525634766","0.4484538733959198,0.6164872646331787","0.6266114711761475,0.6182190179824829","0.4488210082054138,0.6094942092895508","0.5921802520751953,0.6129127144813538","0.48336854577064514,0.6144424676895142","0.5975494384765625,0.7530491352081299","0.5109513401985168,0.7469407916069031","0.6201725602149963,0.8864089846611023","0.5523911118507385,0.8695052266120911","0.6144599914550781,0.901116669178009","0.5669626593589783,0.8826983571052551","0.6351807117462158,0.9457516670227051","0.505316436290741,0.9122746586799622"
14,"0.5310361385345459,0.38310253620147705","0.5436978936195374,0.37183821201324463","0.5512132048606873,0.3716282844543457","0.5593032836914062,0.37154877185821533","0.5204645991325378,0.3728140592575073","0.512236475944519,0.3731011152267456","0.5051268339157104,0.3734133541584015","0.5702682137489319,0.37791818380355835","0.498581200838089,0.3801194727420807","0.5473849773406982,0.3945874273777008","0.5156328678131104,0.3952704668045044","0.6316608190536499,0.4411243498325348","0.4429076611995697,0.4491139352321625","0.6608282923698425,0.5212054252624512","0.4360193908214569,0.5277608633041382","0.6446077823638916,0.6021928787231445","0.432097464799881,0.5957539081573486","0.6431813836097717,0.626643180847168","0.43779581785202026,0.6169094443321228","0.6300807595252991,0.6248682737350464","0.4465303122997284,0.6154536008834839","0.6261879205703735,0.6173669099807739","0.44734102487564087,0.6084746718406677","0.5919261574745178,0.6128896474838257","0.48311153054237366,0.6143685579299927","0.5966994166374207,0.7527986764907837","0.5103384852409363,0.7467769384384155","0.6197607517242432,0.8862125277519226","0.5522049069404602,0.8694504499435425","0.6145926117897034,0.9009392857551575","0.5668333768844604,0.8827434778213501","0.6351751685142517,0.9453786015510559","0.5048733949661255,0.9122141599655151"
15,"0.5308816432952881,0.3831302225589752","0.5436331033706665,0.3718668520450592","0.5510779619216919,0.37164658308029175","0.5592052340507507,0.3715607225894928","0.5204259753227234,0.37284260988235474","0.5121694207191467,0.3731311857700348","0.5050066113471985,0.3734494745731354","0.570193886756897,0.3778815269470215","0.49861955642700195,0.38012415170669556","0.5472400188446045,0.39462485909461975","0.5154508948326111,0.39530056715011597","0.6316604614257812,0.44094377756118774","0.44304928183555603,0.449085533618927","0.6609377264976501,0.5213943123817444","0.43562597036361694,0.5273084044456482","0.6443727016448975,0.6024731993675232","0.4316016733646393,0.5954746007919312","0.6431053876876831,0.6269033551216125","0.4371618628501892,0.6166718602180481","0.6299664378166199,0.6248909831047058","0.4456373453140259,0.6152657270431519","0.6260012984275818,0.6173704862594604","0.44667142629623413,0.6083206534385681","0.5920846462249756,0.6128772497177124","0.4831143319606781,0.614319920539856","0.5964298844337463,0.7526184320449829","0.5100103616714478,0.7466312646865845","0.6193983554840088,0.8861198425292969","0.5520125031471252,0.869515597820282","0.6146537065505981,0.9008517265319824","0.5666950941085815,0.8829811215400696","0.6347917914390564,0.9454492330551147","0.5045763254165649,0.9123199582099915"
16,"0.5307789444923401,0.38317960500717163","0.5436031222343445,0.37188801169395447","0.5510268807411194,0.3716680705547333","0.5591739416122437,0.3715820014476776","0.5203890800476074,0.37285351753234863","0.5121291279792786,0.37314528226852417","0.5049163103103638,0.3734714388847351","0.570174515247345,0.3778735399246216","0.49865204095840454,0.3801289200782776","0.5471267700195312,0.3946409225463867","0.5153186321258545,0.3953526020050049","0.6316413879394531,0.4408148229122162","0.44317004084587097,0.4490675926208496","0.6611290574073792,0.5213434100151062","0.43532323837280273,0.5271023511886597","0.6445193290710449,0.6022769212722778","0.4313579499721527,0.5957604050636292","0.6435734629631042,0.6267980933189392","0.4369752109050751,0.6169871091842651","0.6303669810295105,0.6246951818466187","0.4453352689743042,0.6156242489814758","0.6262772083282471,0.6171720623970032","0.44648903608322144,0.6087740063667297","0.5922163128852844,0.6128515005111694","0.48308369517326355,0.6142743825912476","0.5963530540466309,0.7525073289871216","0.5098111033439636,0.7466055750846863","0.61902916431427,0.8861420750617981","0.551655650138855,0.8695383071899414","0.6146202087402344,0.9009262323379517","0.5665370225906372,0.8832205533981323","0.6347038149833679,0.945570170879364","0.5038864016532898,0.912350058555603"
17,"0.530847430229187,0.3832700848579407","0.5436637997627258,0.3718998432159424","0.5510880351066589,0.37167710065841675","0.5592214465141296,0.3715936541557312","0.5204500555992126,0.3728766441345215","0.5122081637382507,0.37316590547561646","0.5049296617507935,0.37348225712776184","0.5701913833618164,0.3778735399246216","0.4986887574195862,0.3801315128803253","0.5471478700637817,0.39469462633132935","0.5153728723526001,0.3954564034938812","0.6316187381744385,0.44069990515708923","0.44326138496398926,0.44905033707618713","0.661125898361206,0.5212634205818176","0.4351924955844879,0.5268679261207581","0.644944965839386,0.6022433042526245","0.43142056465148926,0.5959885120391846","0.6442741751670837,0.6266948580741882","0.43731507658958435,0.6175810694694519","0.6311368346214294,0.6246708631515503","0.44620776176452637,0.6164345741271973","0.6270020008087158,0.6171811819076538","0.4470160901546478,0.6094663143157959","0.5923959612846375,0.6127262711524963","0.48323923349380493,0.6141730546951294","0.5967281460762024,0.7524535059928894","0.5098769664764404,0.746527910232544","0.6189747452735901,0.8864426612854004","0.5516003370285034,0.8696556091308594","0.614668607711792,0.9013641476631165","0.5664986371994019,0.8835400342941284","0.635003387928009,0.9456599354743958","0.503827691078186,0.9124118089675903"
18,"0.5309242010116577,0.3832968473434448","0.5437382459640503,0.37191489338874817","0.5511640310287476,0.3716874122619629","0.5592849254608154,0.3716036379337311","0.5205228328704834,0.3728959858417511","0.5122727155685425,0.3731834888458252","0.5050193667411804,0.37350600957870483","0.5702260136604309,0.3778534531593323","0.4987489879131317,0.38009878993034363","0.5472202897071838,0.39471301436424255","0.5154659152030945,0.3954697251319885","0.6316072940826416,0.44061675667762756","0.4433302879333496,0.44903674721717834","0.6611505150794983,0.5213392376899719","0.4351247251033783,0.5267010927200317","0.6450800895690918,0.6028624773025513","0.43172988295555115,0.5965128540992737","0.6442322134971619,0.6272624731063843","0.4379841983318329,0.618180513381958","0.6310806274414062,0.6252386569976807","0.44745171070098877,0.6171454191207886","0.6269705891609192,0.6177839636802673","0.44800710678100586,0.6101617217063904","0.5925263166427612,0.6121516227722168","0.48328089714050293,0.6136502027511597","0.5970248579978943,0.7520492672920227","0.5096369385719299,0.7456629872322083","0.6188104748725891,0.8864208459854126","0.5514481663703918,0.8696302175521851","0.6146895885467529,0.9013029336929321","0.5663490295410156,0.8835241198539734","0.6349595189094543,0.9456079602241516","0.5038960576057434,0.9123576283454895"
19,"0.5309573411941528,0.3833259642124176","0.5437852144241333,0.37192079424858093","0.5512085556983948,0.37169212102890015","0.5593366622924805,0.37161073088645935","0.5205507278442383,0.3729000389575958","0.5123645067214966,0.37319034337997437","0.5050868391990662,0.3735174536705017","0.5702461004257202,0.3778395652770996","0.49879854917526245,0.3800700902938843","0.5472791790962219,0.3947271704673767","0.5155237913131714,0.3954804539680481","0.6315370202064514,0.4405784010887146","0.44338223338127136,0.4490284323692322","0.660918653011322,0.521344006061554","0.4350685179233551,0.5266109108924866","0.6451835632324219,0.6027580499649048","0.4318732023239136,0.596899151802063","0.6445260643959045,0.6273080706596375","0.4381255805492401,0.6181715726852417","0.6313853859901428,0.625356137752533","0.4477264881134033,0.6171401143074036","0.6271979212760925,0.617936909198761","0.4483368396759033,0.6103485226631165","0.5926270484924316,0.6114720702171326","0.4833596646785736,0.613151490688324","0.5972341895103455,0.7508121728897095","0.5091589093208313,0.7450914978981018","0.6186718940734863,0.8864277005195618","0.5513503551483154,0.8695822954177856","0.6146923303604126,0.9013103246688843","0.5662319660186768,0.8834823369979858","0.6344330310821533,0.9456127285957336","0.504162073135376,0.9123285412788391"
20,"0.5311381220817566,0.3832266330718994","0.5438087582588196,0.3717966377735138","0.5512319207191467,0.3715694546699524","0.5593757629394531,0.3714786171913147","0.5206884741783142,0.3727445900440216","0.5125616192817688,0.37303870916366577","0.5051055550575256,0.37337106466293335","0.5702593326568604,0.37764716148376465","0.4988306760787964,0.37991541624069214","0.5473025441169739,0.39466357231140137","0.5155749917030334,0.39539867639541626","0.6315209269523621,0.44048699736595154","0.44342559576034546,0.4488866329193115","0.6607289910316467,0.5215422511100769","0.4349392354488373,0.5265293121337891","0.6451954245567322,0.6027900576591492","0.43200644850730896,0.5966737866401672","0.6442689299583435,0.6273661255836487","0.43807339668273926,0.6176528334617615","0.6313807964324951,0.6252607107162476","0.44785889983177185,0.6165348887443542","0.627319872379303,0.6177576780319214","0.44867026805877686,0.609931468963623","0.5926592946052551,0.6109752655029297","0.4834437370300293,0.6129661798477173","0.5972753167152405,0.7492690682411194","0.5081669092178345,0.7443190813064575","0.6179912686347961,0.8867535591125488","0.5508777499198914,0.8695704340934753","0.6145000457763672,0.9020900726318359","0.5657613277435303,0.8834416270256042","0.6333815455436707,0.9485392570495605","0.50431889295578,0.9123145341873169"
