Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
11,"0.5560866594314575,0.4074341356754303","0.5661277174949646,0.3984277546405792","0.5725437998771667,0.39850565791130066","0.57855623960495,0.3986622393131256","0.5476281046867371,0.398446261882782","0.5412055253982544,0.39844563603401184","0.5345220565795898,0.39857226610183716","0.5861399173736572,0.40220069885253906","0.5256961584091187,0.4015965461730957","0.5669385194778442,0.4173974096775055","0.5434802174568176,0.41796746850013733","0.6374175548553467,0.45175451040267944","0.47770828008651733,0.4573137164115906","0.6615553498268127,0.5257248878479004","0.4629402160644531,0.5326778292655945","0.6635828614234924,0.5976303219795227","0.45365333557128906,0.6024066805839539","0.6652237176895142,0.6226345896720886","0.4531762897968292,0.6222243905067444","0.6533008813858032,0.6204869151115417","0.4626257121562958,0.6217976212501526","0.64955735206604,0.6147445440292358","0.4663114845752716,0.6165593266487122","0.6000562310218811,0.6002931594848633","0.5099717974662781,0.5975947976112366","0.5974929332733154,0.7241050004959106","0.5259520411491394,0.7111263275146484","0.6131089329719543,0.8415067791938782","0.5533554553985596,0.812771201133728","0.6053310632705688,0.8547453880310059","0.5635266304016113,0.8247604370117188","0.6257144808769226,0.8812355995178223","0.5259207487106323,0.844567596912384"
12,"0.5565938949584961,0.40706300735473633","0.5666412711143494,0.3981429934501648","0.5731033086776733,0.398220956325531","0.5787556767463684,0.39838865399360657","0.5481809973716736,0.398188054561615","0.5416210889816284,0.39820045232772827","0.5350805521011353,0.3982587456703186","0.5865365862846375,0.40191659331321716","0.5257517099380493,0.40130195021629333","0.5675919055938721,0.41694703698158264","0.5439640879631042,0.41738590598106384","0.6378041505813599,0.4517451226711273","0.47807565331459045,0.4573160707950592","0.6632602214813232,0.5260368585586548","0.46362513303756714,0.5328129529953003","0.6653440594673157,0.5979951620101929","0.4539184868335724,0.6026202440261841","0.6667084097862244,0.6230870485305786","0.4535174071788788,0.6224393248558044","0.6544641852378845,0.6209405660629272","0.46320220828056335,0.6219857931137085","0.6506592035293579,0.6151210069656372","0.466922789812088,0.6167818307876587","0.6001671552658081,0.6003935933113098","0.5101456642150879,0.5976899266242981","0.5977869629859924,0.7241616249084473","0.5272728204727173,0.7111474275588989","0.6130070686340332,0.8417342901229858","0.5533081293106079,0.8128126263618469","0.6054102182388306,0.8554061055183411","0.5635279417037964,0.8248264193534851","0.6259554624557495,0.8821240663528442","0.52593994140625,0.8444126844406128"
13,"0.5563969612121582,0.4069136679172516","0.5665732622146606,0.3979693055152893","0.5731645226478577,0.3980219066143036","0.5786007642745972,0.3981785178184509","0.5481647253036499,0.3980187177658081","0.541550874710083,0.3980196416378021","0.5351887941360474,0.39802491664886475","0.5867222547531128,0.4016083776950836","0.5258112549781799,0.4010249078273773","0.5676077604293823,0.4167362153530121","0.5438920855522156,0.41710036993026733","0.6380293369293213,0.45167073607444763","0.47852563858032227,0.4572685658931732","0.6642456650733948,0.5263280868530273","0.46435627341270447,0.5327929854393005","0.6659986972808838,0.5993598103523254","0.4543885588645935,0.6026884913444519","0.6669967174530029,0.6239174604415894","0.4541032910346985,0.6225976943969727","0.6546881198883057,0.6218624711036682","0.46389898657798767,0.6221919655799866","0.6509111523628235,0.6161645650863647","0.4675354063510895,0.6169503927230835","0.6002498865127563,0.6004422307014465","0.5102742314338684,0.5977458357810974","0.5982701778411865,0.7242885828018188","0.529184877872467,0.7111934423446655","0.6129783391952515,0.8421369791030884","0.5534353852272034,0.812822163105011","0.6055036187171936,0.8560811281204224","0.5637268424034119,0.8248677253723145","0.6261575818061829,0.8831206560134888","0.5262386202812195,0.8442573547363281"
14,"0.5555919408798218,0.40689730644226074","0.5660671591758728,0.3979465365409851","0.5727679133415222,0.39796847105026245","0.5782274603843689,0.39809954166412354","0.5478048920631409,0.3979964852333069","0.541304886341095,0.39797380566596985","0.5351346135139465,0.3979458212852478","0.5868248343467712,0.40139222145080566","0.5260069966316223,0.4008544385433197","0.5670152902603149,0.4167300760746002","0.5434737205505371,0.4170428216457367","0.6380653977394104,0.451090008020401","0.4789162874221802,0.4572316110134125","0.6650921702384949,0.526168704032898","0.4649622142314911,0.5326055288314819","0.6678464412689209,0.5987733006477356","0.45498016476631165,0.6022910475730896","0.6691303253173828,0.6234698295593262","0.45468804240226746,0.6223739981651306","0.6566684246063232,0.6216127276420593","0.4640374183654785,0.6220520734786987","0.6527106165885925,0.6160560250282288","0.4675604999065399,0.6167301535606384","0.6003374457359314,0.6004714369773865","0.5106242895126343,0.5977702736854553","0.5986340641975403,0.7245225310325623","0.5316600799560547,0.7112034559249878","0.6126230359077454,0.8426697850227356","0.5536552667617798,0.8128494024276733","0.6055104732513428,0.8566495776176453","0.5641438364982605,0.8248875737190247","0.6261183619499207,0.8842976689338684","0.5270395278930664,0.8443005681037903"
15,"0.5554117560386658,0.40685492753982544","0.5659344792366028,0.397829532623291","0.5726616978645325,0.39778998494148254","0.5780888199806213,0.3978691101074219","0.547819197177887,0.3979213833808899","0.5413790941238403,0.39788538217544556","0.5353363752365112,0.3978176414966583","0.5869976282119751,0.4009935259819031","0.5262662172317505,0.40057772397994995","0.5669904351234436,0.4165645241737366","0.5435144901275635,0.4166971743106842","0.6382893323898315,0.4506460130214691","0.4791959524154663,0.457114040851593","0.6664588451385498,0.526496410369873","0.46531376242637634,0.5324607491493225","0.6701883673667908,0.5998820066452026","0.4551038444042206,0.6023897528648376","0.6719197034835815,0.6238471269607544","0.4546594023704529,0.6225656270980835","0.6591299176216125,0.6218416094779968","0.4636162519454956,0.6222310662269592","0.6550541520118713,0.6162315607070923","0.46714213490486145,0.6168224811553955","0.6010943055152893,0.6004843711853027","0.5115021467208862,0.5978163480758667","0.5989062190055847,0.7250099182128906","0.5344224572181702,0.7112506628036499","0.6124848127365112,0.8439604043960571","0.5540905594825745,0.8128581047058105","0.6055569648742676,0.8586732149124146","0.5649142861366272,0.8248968124389648","0.6267805695533752,0.886602520942688","0.5278359651565552,0.8442478179931641"
16,"0.5556528568267822,0.4064176678657532","0.5661418437957764,0.3974115252494812","0.5728530287742615,0.3973219692707062","0.5782872438430786,0.3973228633403778","0.5479863286018372,0.39764848351478577","0.5415523648262024,0.39765429496765137","0.5354573726654053,0.3975888788700104","0.5871624946594238,0.40039220452308655","0.5264572501182556,0.4003145694732666","0.5670368075370789,0.4160231053829193","0.5436118841171265,0.41605669260025024","0.6384662985801697,0.4506058096885681","0.47936761379241943,0.4570836126804352","0.6682948470115662,0.5279260873794556","0.465470552444458,0.5324991941452026","0.6709912419319153,0.6013143658638","0.4550369381904602,0.603101372718811","0.6720553636550903,0.6246366500854492","0.4546276032924652,0.6232208609580994","0.6594670414924622,0.6223951578140259","0.46336254477500916,0.622886061668396","0.6555785536766052,0.6167396306991577","0.46690577268600464,0.6173917055130005","0.6027592420578003,0.6006151437759399","0.5127580165863037,0.5980767607688904","0.5991257429122925,0.7259086966514587","0.5370184779167175,0.7114757299423218","0.6123046278953552,0.8448877334594727","0.5547361373901367,0.8128674626350403","0.6055848598480225,0.8601062893867493","0.5660919547080994,0.824966549873352","0.6281959414482117,0.8900038599967957","0.5285099744796753,0.8442363739013672"
17,"0.5557560920715332,0.405831515789032","0.5661811828613281,0.39680927991867065","0.572908878326416,0.39671802520751953","0.5784448981285095,0.3966825604438782","0.5480268597602844,0.39712533354759216","0.5416197180747986,0.39715009927749634","0.535498321056366,0.39708513021469116","0.5873006582260132,0.3998085856437683","0.5265974402427673,0.39986854791641235","0.5673691630363464,0.41556090116500854","0.5437139868736267,0.4154652953147888","0.6392122507095337,0.4506370425224304","0.4794539213180542,0.4570698142051697","0.6692420244216919,0.5298949480056763","0.46556633710861206,0.532558798789978","0.6705739498138428,0.6041961908340454","0.4550614655017853,0.603786051273346","0.6710112690925598,0.6264998912811279","0.45499590039253235,0.6237834692001343","0.6587767004966736,0.6240590810775757","0.46365875005722046,0.6234463453292847","0.6551727652549744,0.6183210611343384","0.4671158194541931,0.6178897619247437","0.6038745045661926,0.6008172035217285","0.5136213302612305,0.5983327031135559","0.6003199815750122,0.7267261743545532","0.5390852689743042,0.7117034196853638","0.6123279929161072,0.8459393382072449","0.5553805232048035,0.8128951191902161","0.6056609749794006,0.8614932298660278","0.5669553279876709,0.8250443339347839","0.6302317976951599,0.8921915292739868","0.5295816659927368,0.8442232012748718"
18,"0.5566386580467224,0.4053862690925598","0.5675127506256104,0.39625468850135803","0.5737218856811523,0.3962583541870117","0.5789077281951904,0.3962487578392029","0.5492594242095947,0.3965315520763397","0.5426360368728638,0.39655181765556335","0.5364009141921997,0.39651036262512207","0.5890514850616455,0.39951008558273315","0.5271535515785217,0.39944738149642944","0.5687533617019653,0.4152234196662903","0.5448302626609802,0.415055513381958","0.6405957937240601,0.45066243410110474","0.479973167181015,0.4567995071411133","0.6706075668334961,0.5304246544837952","0.4656614065170288,0.5325505137443542","0.6701931357383728,0.6071025133132935","0.4552971422672272,0.60396808385849","0.6706358790397644,0.6286064386367798","0.4555697441101074,0.6241426467895508","0.6585060358047485,0.6262690424919128","0.46416205167770386,0.6237213611602783","0.65494704246521,0.620425820350647","0.4675440788269043,0.618009626865387","0.6050024628639221,0.6015502214431763","0.5141326189041138,0.5986664891242981","0.6017254590988159,0.7269949913024902","0.539530336856842,0.7120355367660522","0.6123863458633423,0.8464574813842773","0.555662989616394,0.8129156231880188","0.6057122349739075,0.8619809150695801","0.5673364996910095,0.8251298666000366","0.6312154531478882,0.8938010334968567","0.5301124453544617,0.8442422151565552"
19,"0.5586844682693481,0.40458184480667114","0.5695713758468628,0.39545738697052","0.5751153826713562,0.39557945728302","0.5804108381271362,0.39562368392944336","0.5511334538459778,0.3954679071903229","0.5443668961524963,0.3953956663608551","0.537831723690033,0.39539462327957153","0.5915096998214722,0.39911743998527527","0.5280469655990601,0.39886441826820374","0.5711838603019714,0.4146400988101959","0.5469337701797485,0.414233922958374","0.6428901553153992,0.450752317905426","0.48051390051841736,0.4566960334777832","0.6732339262962341,0.5302313566207886","0.46569961309432983,0.5327997803688049","0.671765148639679,0.6059256792068481","0.4555729031562805,0.6044214367866516","0.6726071834564209,0.6280103921890259","0.4560840129852295,0.6246758699417114","0.6603680849075317,0.6257129907608032","0.46465253829956055,0.6242156624794006","0.656541109085083,0.6198486089706421","0.4680190682411194,0.618401825428009","0.6068251132965088,0.6027895212173462","0.5145299434661865,0.599319577217102","0.6032366752624512,0.7277226448059082","0.5393503308296204,0.7124738097190857","0.6127309203147888,0.8468610048294067","0.5557929277420044,0.8129690289497375","0.6059420108795166,0.8622062802314758","0.5673989057540894,0.8251693844795227","0.6323736310005188,0.8952666521072388","0.5301104784011841,0.8442524075508118"
20,"0.5613263249397278,0.40351781249046326","0.5720140933990479,0.3941923677921295","0.5771165490150452,0.3942810595035553","0.5830830931663513,0.39437395334243774","0.5531153678894043,0.39418911933898926","0.546094536781311,0.3941587805747986","0.5392388105392456,0.39431118965148926","0.5943309664726257,0.39838603138923645","0.5289789438247681,0.39835959672927856","0.57408607006073,0.41362613439559937","0.5495204925537109,0.4133446216583252","0.6456616520881653,0.4508167803287506","0.4814518392086029,0.45622166991233826","0.6758390069007874,0.5302397012710571","0.4657723307609558,0.5329993367195129","0.6732737421989441,0.6058506965637207","0.45584338903427124,0.6045292615890503","0.6729807257652283,0.6284061074256897","0.4564639925956726,0.6249688267707825","0.6609525680541992,0.6258684992790222","0.4650915265083313,0.6244589686393738","0.6573306322097778,0.6199960708618164","0.468433678150177,0.6184794306755066","0.6088968515396118,0.6040880084037781","0.514840841293335,0.600115180015564","0.6048411726951599,0.729366660118103","0.5388917922973633,0.7132044434547424","0.6130747199058533,0.8469950556755066","0.5558190941810608,0.8130185008049011","0.6061652898788452,0.8621178865432739","0.5673843622207642,0.8252140879631042","0.633778989315033,0.8960720300674438","0.5298730134963989,0.8442619442939758"
