Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
11,"0.5703872442245483,0.3913326561450958","0.581445038318634,0.3811395764350891","0.5868198275566101,0.381466269493103","0.5928193926811218,0.3818919360637665","0.5608050227165222,0.38102254271507263","0.5530827641487122,0.3811946511268616","0.5461991429328918,0.3814295530319214","0.6043898463249207,0.3884080946445465","0.5337302088737488,0.38884860277175903","0.5840261578559875,0.40282320976257324","0.555675208568573,0.40251603722572327","0.6617920994758606,0.4529740810394287","0.4786839485168457,0.4514591097831726","0.6853832602500916,0.5287366509437561","0.46660342812538147,0.5308926105499268","0.6674425601959229,0.6042152047157288","0.4767416715621948,0.5984203219413757","0.6647804975509644,0.6297745704650879","0.48302948474884033,0.6189627051353455","0.6536284685134888,0.6281319856643677","0.4912637174129486,0.61664217710495","0.6505630612373352,0.6201742887496948","0.49236729741096497,0.6108707785606384","0.6278230547904968,0.607796311378479","0.5239146947860718,0.6075267195701599","0.6300069093704224,0.7398475408554077","0.5415129661560059,0.7274712920188904","0.6456494927406311,0.8580256700515747","0.5691521167755127,0.8394268751144409","0.6355552673339844,0.8710881471633911","0.5842529535293579,0.8527203798294067","0.6732836961746216,0.909206211566925","0.5370789766311646,0.876262366771698"
12,"0.5701715350151062,0.3908538818359375","0.5811055302619934,0.3807612955570221","0.586620032787323,0.38109090924263","0.592507541179657,0.3814803659915924","0.5604485273361206,0.3806958794593811","0.5529093146324158,0.38087934255599976","0.5461521744728088,0.3810965418815613","0.604108989238739,0.3880263566970825","0.5338110327720642,0.38869529962539673","0.583995521068573,0.402407705783844","0.5554297566413879,0.40208205580711365","0.6619086265563965,0.45285648107528687","0.47958093881607056,0.45134225487709045","0.685183584690094,0.5285525321960449","0.4669590890407562,0.5304072499275208","0.6685546040534973,0.604085385799408","0.4766131639480591,0.5975168943405151","0.6671329736709595,0.6298328042030334","0.4828895628452301,0.6180859804153442","0.6555106043815613,0.6283833384513855","0.490825355052948,0.6158227324485779","0.6520385146141052,0.6203020811080933","0.49196335673332214,0.6098592877388","0.6280232071876526,0.6078184843063354","0.524173378944397,0.6074679493904114","0.6297935247421265,0.7399245500564575","0.5419303178787231,0.7273064255714417","0.6459653377532959,0.8581324815750122","0.5695065259933472,0.8392960429191589","0.6359354853630066,0.8712318539619446","0.5845557451248169,0.8524899482727051","0.6727505326271057,0.9092565774917603","0.5377334952354431,0.8762346506118774"
13,"0.5702882409095764,0.39052098989486694","0.5810233354568481,0.38050517439842224","0.5865879654884338,0.38084113597869873","0.5923875570297241,0.3812073767185211","0.56039959192276,0.3804647624492645","0.5529672503471375,0.3806600570678711","0.5462810397148132,0.38087278604507446","0.6039491295814514,0.387793630361557","0.533860445022583,0.3886212706565857","0.5841690301895142,0.402111291885376","0.5554791688919067,0.4017794132232666","0.661914587020874,0.45250576734542847","0.4802643656730652,0.451130211353302","0.6851104497909546,0.5281550288200378","0.4675084054470062,0.5304643511772156","0.6689921021461487,0.6035538911819458","0.4766028821468353,0.597137987613678","0.6677195429801941,0.6290950775146484","0.48278695344924927,0.6179171204566956","0.6561689376831055,0.6274312138557434","0.49052271246910095,0.6156026124954224","0.6528167724609375,0.6194683313369751","0.4916551411151886,0.6094456911087036","0.6283867955207825,0.6078685522079468","0.5244353413581848,0.6075060367584229","0.6298478841781616,0.7400866150856018","0.5415747165679932,0.7272895574569702","0.6464448571205139,0.8578046560287476","0.5692221522331238,0.8390588760375977","0.6362447142601013,0.8707472085952759","0.5842424035072327,0.8521946668624878","0.6731069684028625,0.9090405702590942","0.538522481918335,0.876167893409729"
14,"0.5704668760299683,0.3902776837348938","0.580985426902771,0.3802717328071594","0.5865812301635742,0.38060253858566284","0.5923089981079102,0.3809511363506317","0.5604189038276672,0.3802519142627716","0.553076446056366,0.38045546412467957","0.5464373230934143,0.38066983222961426","0.603825032711029,0.3875267207622528","0.5340160727500916,0.3884538412094116","0.5843513607978821,0.4018472731113434","0.555585503578186,0.40154320001602173","0.6620092988014221,0.452181339263916","0.4808911979198456,0.4509124159812927","0.6852104663848877,0.5279646515846252","0.46760106086730957,0.5305594205856323","0.6691457629203796,0.6035312414169312","0.47636139392852783,0.5967758297920227","0.6677681803703308,0.6286419630050659","0.4817756712436676,0.617557942867279","0.6563061475753784,0.626915693283081","0.48970362544059753,0.6152437925338745","0.6531890630722046,0.6191353797912598","0.49102744460105896,0.6091355681419373","0.6284356713294983,0.6079944968223572","0.5244517922401428,0.6074551343917847","0.630017876625061,0.7401655316352844","0.5412963628768921,0.7278289198875427","0.6468104124069214,0.8575103878974915","0.5689636468887329,0.8388971090316772","0.6364357471466064,0.8702446818351746","0.5840017795562744,0.8519718050956726","0.6734898686408997,0.9088718295097351","0.5388103723526001,0.8761097192764282"
15,"0.5702716708183289,0.39010363817214966","0.5807693004608154,0.380105584859848","0.5864437818527222,0.3804304003715515","0.5921483635902405,0.3807676434516907","0.5602272152900696,0.38011154532432556","0.5529378652572632,0.38032442331314087","0.5463403463363647,0.3805393874645233","0.6036812663078308,0.3873409926891327","0.534118115901947,0.3883752226829529","0.5842260718345642,0.4016692638397217","0.5554380416870117,0.4013954699039459","0.6620306968688965,0.45186957716941833","0.4811819791793823,0.45068293809890747","0.6852442026138306,0.5278664827346802","0.46750038862228394,0.5305883288383484","0.6690306663513184,0.6035994291305542","0.47593003511428833,0.5962702631950378","0.6674467325210571,0.6283305883407593","0.48081108927726746,0.6170384883880615","0.6562603116035461,0.6265274286270142","0.4887239336967468,0.6146745681762695","0.653321385383606,0.6188591718673706","0.4902428388595581,0.6086713075637817","0.6282586455345154,0.6082258224487305","0.5241369605064392,0.6076617240905762","0.630145788192749,0.7403630018234253","0.5409008264541626,0.7289828062057495","0.6470987200737,0.8573503494262695","0.5688620805740356,0.8388602137565613","0.6366363763809204,0.8698779344558716","0.5839741230010986,0.8518356084823608","0.6734097003936768,0.9087132215499878","0.5390223860740662,0.8760709762573242"
16,"0.5701596736907959,0.38998883962631226","0.5806260108947754,0.3799833655357361","0.5863659381866455,0.3803037106990814","0.592047929763794,0.3806353807449341","0.5601292252540588,0.3800027370452881","0.5529108643531799,0.38022178411483765","0.5463687181472778,0.3804404139518738","0.6035870909690857,0.38719746470451355","0.5343450307846069,0.3883139491081238","0.5841797590255737,0.4015529751777649","0.5553716421127319,0.4013128876686096","0.6620773673057556,0.4516626298427582","0.48142603039741516,0.45053038001060486","0.6853755712509155,0.5277605056762695","0.46742331981658936,0.530806303024292","0.6691482067108154,0.6037617325782776","0.47543853521347046,0.5958410501480103","0.667137622833252,0.6282270550727844","0.4798968434333801,0.6162508726119995","0.6564277410507202,0.6263841390609741","0.48761260509490967,0.6138800382614136","0.653752326965332,0.6187689304351807","0.4892968535423279,0.6080878376960754","0.6283361911773682,0.6081578731536865","0.5241357684135437,0.607603132724762","0.6302329897880554,0.740351676940918","0.5409743189811707,0.7292938232421875","0.647287905216217,0.8573640584945679","0.5688048601150513,0.838878333568573","0.6367642283439636,0.8697383999824524","0.5839405655860901,0.851789116859436","0.6731482744216919,0.9086576700210571","0.5388875603675842,0.8760554194450378"
17,"0.5701267123222351,0.3898858428001404","0.5805460810661316,0.3798901438713074","0.5863398313522339,0.3802075982093811","0.5919933915138245,0.3805336356163025","0.5600816011428833,0.37992754578590393","0.5529046058654785,0.3801553547382355","0.5463896989822388,0.3803786635398865","0.6035315990447998,0.38709378242492676","0.5344347357749939,0.3882844150066376","0.5842058658599854,0.40144771337509155","0.5553589463233948,0.40121492743492126","0.6621288061141968,0.4515500068664551","0.48159047961235046,0.45038241147994995","0.6854074001312256,0.5277005434036255","0.46726369857788086,0.5309101343154907","0.6691334247589111,0.6040328145027161","0.47534188628196716,0.5958479642868042","0.6668355464935303,0.6284271478652954","0.4797646105289459,0.616252064704895","0.6562857627868652,0.6265374422073364","0.4874992370605469,0.6138862371444702","0.6537071466445923,0.6189344525337219","0.48920583724975586,0.6081058382987976","0.6283433437347412,0.6083115339279175","0.5241259932518005,0.6077233552932739","0.6303182244300842,0.7405272722244263","0.5410493016242981,0.7297641038894653","0.6474770307540894,0.8574777841567993","0.5688126683235168,0.8389396667480469","0.6368945240974426,0.8696762919425964","0.5840595364570618,0.8518000841140747","0.6729010343551636,0.9086270332336426","0.5387401580810547,0.8760643005371094"
18,"0.5700849294662476,0.389850914478302","0.5804685950279236,0.379820317029953","0.5862988233566284,0.3801349997520447","0.5919370651245117,0.38045600056648254","0.5600683689117432,0.3798663020133972","0.5529769062995911,0.3800968527793884","0.5465165972709656,0.3803219497203827","0.6034769415855408,0.3870111107826233","0.5347306728363037,0.3882356286048889","0.5841931104660034,0.40141916275024414","0.5553609132766724,0.40116411447525024","0.6621087193489075,0.4513854384422302","0.4821923077106476,0.45023101568222046","0.6854413151741028,0.5275338888168335","0.4672536551952362,0.5308139324188232","0.6693089008331299,0.6037838459014893","0.4753032326698303,0.5957949161529541","0.6671888828277588,0.6279879808425903","0.47967392206192017,0.6161198019981384","0.6567911505699158,0.6261306405067444","0.4874574542045593,0.6138685345649719","0.6541355848312378,0.6185938119888306","0.489166259765625,0.6081497669219971","0.6282771229743958,0.6084223985671997","0.5241311192512512,0.6077618598937988","0.6304886341094971,0.7406636476516724","0.5411971807479858,0.7300575971603394","0.6472805738449097,0.857756495475769","0.5688244104385376,0.8390301465988159","0.6367653608322144,0.8698574900627136","0.5841003656387329,0.851852297782898","0.6723666787147522,0.9085662961006165","0.5385729670524597,0.8761170506477356"
19,"0.5700411796569824,0.3897517919540405","0.5803999304771423,0.3797852098941803","0.5862566828727722,0.38009411096572876","0.5918883681297302,0.3804110288619995","0.5600310564041138,0.3798285722732544","0.5529922842979431,0.3800571858882904","0.5465660691261292,0.3802819550037384","0.6034279465675354,0.38694658875465393","0.5349149107933044,0.38817593455314636","0.5841904282569885,0.40129581093788147","0.5553451180458069,0.40101543068885803","0.6621254086494446,0.45126834511756897","0.48261258006095886,0.45012253522872925","0.6855940818786621,0.5274287462234497","0.4672686755657196,0.5308426022529602","0.6694957613945007,0.6036261916160583","0.4752751588821411,0.595943033695221","0.6673710942268372,0.6278181076049805","0.479568749666214,0.616283655166626","0.6569396257400513,0.6258927583694458","0.48739561438560486,0.6140941381454468","0.6542789340019226,0.6183748245239258","0.4891119599342346,0.6083574891090393","0.628193199634552,0.6085000038146973","0.5240417718887329,0.6078019142150879","0.6307704448699951,0.7407410740852356","0.5414333343505859,0.7302340865135193","0.6471617221832275,0.8580819964408875","0.5690225958824158,0.8392404317855835","0.6366637349128723,0.8701871633529663","0.5843073725700378,0.8520375490188599","0.6720162034034729,0.9085532426834106","0.53838711977005,0.8762067556381226"
20,"0.5700012445449829,0.38967692852020264","0.580348551273346,0.37975600361824036","0.5862149000167847,0.38006117939949036","0.5918481349945068,0.3803742825984955","0.559997022151947,0.37979692220687866","0.5529969334602356,0.3800243139266968","0.5465956330299377,0.3802485167980194","0.6033868789672852,0.38689565658569336","0.5350045561790466,0.3881286680698395","0.5841784477233887,0.4011968672275543","0.5553187131881714,0.4008858799934387","0.6621106863021851,0.45118600130081177","0.4827191233634949,0.4500378668308258","0.6856677532196045,0.5273388028144836","0.4672102928161621,0.5308477878570557","0.6693206429481506,0.6033366322517395","0.47520357370376587,0.5960684418678284","0.6670578718185425,0.6273852586746216","0.4795535206794739,0.6164528727531433","0.6566143035888672,0.6253845691680908","0.48744040727615356,0.6142683029174805","0.6539995670318604,0.6179028749465942","0.48911619186401367,0.6084867119789124","0.6281227469444275,0.6084964275360107","0.5239516496658325,0.6078298091888428","0.6308315396308899,0.7407293915748596","0.5415347814559937,0.7301899194717407","0.6470577120780945,0.8582361340522766","0.5691308975219727,0.8393349647521973","0.6365664005279541,0.8704134225845337","0.5843801498413086,0.8521148562431335","0.6718029975891113,0.908495306968689","0.5383058190345764,0.8762205243110657"
