Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
1,"0.5578851103782654,0.3930331766605377","0.567840039730072,0.3843613266944885","0.5748142004013062,0.38407737016677856","0.5815541744232178,0.38385358452796936","0.5466648936271667,0.385165274143219","0.5391362905502319,0.3853877782821655","0.5325443744659424,0.38559865951538086","0.5928995609283447,0.3877102732658386","0.5260006189346313,0.3891843557357788","0.5709289312362671,0.4028736650943756","0.5469611287117004,0.4047028124332428","0.6481056213378906,0.43981504440307617","0.47469910979270935,0.4471789300441742","0.6718419194221497,0.5174255967140198","0.4647538363933563,0.5214356184005737","0.6394268274307251,0.5876891613006592","0.4801860451698303,0.586010217666626","0.6333799958229065,0.60926753282547","0.4857100248336792,0.6050472259521484","0.6253493428230286,0.6084905862808228","0.4951398968696594,0.6047319173812866","0.6235929131507874,0.6016625761985779","0.495658278465271,0.5990788340568542","0.6123104691505432,0.5924443006515503","0.5088234543800354,0.5928012132644653","0.6048880815505981,0.7151875495910645","0.5093593597412109,0.7017824649810791","0.5967193245887756,0.8314659595489502","0.5308451056480408,0.8002987504005432","0.590411901473999,0.8419687151908875","0.5401206016540527,0.8134472370147705","0.6089992523193359,0.8628548383712769","0.5050160884857178,0.8427737951278687"
2,"0.5546871423721313,0.39441993832588196","0.5632587671279907,0.3854036033153534","0.5701257586479187,0.38541585206985474","0.5769662261009216,0.38568320870399475","0.5445200800895691,0.38670364022254944","0.5375731587409973,0.38724538683891296","0.5308876633644104,0.3878656029701233","0.5864817500114441,0.3918467164039612","0.5195814967155457,0.3942747712135315","0.5652878284454346,0.405293345451355","0.5424415469169617,0.40562108159065247","0.6368764042854309,0.44630110263824463","0.46539807319641113,0.4532577097415924","0.6649760603904724,0.5234250426292419","0.45760926604270935,0.5274038314819336","0.6502055525779724,0.5949792861938477","0.4732142686843872,0.5914413332939148","0.6485489010810852,0.6156015396118164","0.47859224677085876,0.6093105673789978","0.6358485221862793,0.6146031618118286","0.4891546368598938,0.6092689633369446","0.6334837675094604,0.6069267392158508","0.49049922823905945,0.603049099445343","0.611265242099762,0.6008191108703613","0.5093446373939514,0.6030011773109436","0.6062577366828918,0.7222514152526855","0.5239028334617615,0.7088218927383423","0.6067137718200684,0.8378051519393921","0.5453355312347412,0.8076677918434143","0.6009874939918518,0.8496251106262207","0.554841935634613,0.8207343816757202","0.6195310950279236,0.8852111101150513","0.5187854170799255,0.8481026887893677"
3,"0.5538442134857178,0.39741843938827515","0.5638874769210815,0.38841623067855835","0.5707228183746338,0.3883935511112213","0.577206015586853,0.3883158266544342","0.5426270365715027,0.38886693120002747","0.536483645439148,0.38910260796546936","0.5306520462036133,0.3894284963607788","0.5865786671638489,0.39107510447502136","0.5206435918807983,0.39303427934646606","0.5662115812301636,0.4077322781085968","0.5401350259780884,0.40827035903930664","0.6372640132904053,0.4453546702861786","0.46486571431159973,0.45327600836753845","0.6650136709213257,0.5209978222846985","0.45886871218681335,0.52779221534729","0.6529621481895447,0.5929265022277832","0.47602733969688416,0.5901690125465393","0.6510587334632874,0.612711489200592","0.4805551767349243,0.6084662675857544","0.6399053931236267,0.6114625930786133","0.48904862999916077,0.6061386466026306","0.6369152665138245,0.6050325036048889","0.4908180236816406,0.6008931398391724","0.6116294860839844,0.6022568345069885","0.5094147324562073,0.6024459600448608","0.6073722243309021,0.7274975776672363","0.5315937995910645,0.7153486013412476","0.608103334903717,0.8413474559783936","0.5516715049743652,0.8130574226379395","0.6033852696418762,0.8549667000770569","0.5611568689346313,0.8246141672134399","0.6234484910964966,0.8878529071807861","0.5258448123931885,0.8484092354774475"
4,"0.5548412203788757,0.39798566699028015","0.5650495886802673,0.38774925470352173","0.5716521739959717,0.38765960931777954","0.5786482691764832,0.3876231610774994","0.5433802604675293,0.38822707533836365","0.5357339978218079,0.38846075534820557","0.5291914939880371,0.3890170454978943","0.5866070985794067,0.39088648557662964","0.5207961797714233,0.3934954106807709","0.5672860741615295,0.4080909490585327","0.54022616147995,0.40925902128219604","0.6395271420478821,0.4451581537723541","0.46608492732048035,0.4536682069301605","0.6672559380531311,0.5195176601409912","0.4615092873573303,0.528190016746521","0.6538506150245667,0.5926461815834045","0.4767399728298187,0.593087911605835","0.6512768864631653,0.6137612462043762","0.48266008496284485,0.6115880608558655","0.6390495896339417,0.6122583150863647","0.48948270082473755,0.6094900369644165","0.6358274817466736,0.6057369709014893","0.49077925086021423,0.6043245196342468","0.6123425960540771,0.6032997369766235","0.5103663802146912,0.6041625738143921","0.6083592772483826,0.7273686528205872","0.5335310697555542,0.7124233841896057","0.6103413701057434,0.8395276069641113","0.5506868362426758,0.81024569272995","0.6063727736473083,0.8513597249984741","0.5624313354492188,0.8230127692222595","0.6260087490081787,0.8895891904830933","0.5242920517921448,0.8462774753570557"
5,"0.55406254529953,0.3962913751602173","0.5637450218200684,0.3862134516239166","0.5703185796737671,0.3861211836338043","0.5768290758132935,0.3861439526081085","0.5440927147865295,0.38647446036338806","0.5372802019119263,0.3866099715232849","0.5304438471794128,0.386873334646225","0.5854067802429199,0.3906497359275818","0.5219672918319702,0.3920222520828247","0.5666303634643555,0.40609216690063477","0.540035605430603,0.406578004360199","0.6417717933654785,0.4445682764053345","0.46910375356674194,0.45275020599365234","0.6686660051345825,0.519527792930603","0.4640870690345764,0.5279456377029419","0.6564067602157593,0.5948696732521057","0.4738946259021759,0.5897239446640015","0.6554358601570129,0.6172624230384827","0.47986921668052673,0.6102525591850281","0.6416490077972412,0.615999698638916","0.4858427345752716,0.60784512758255","0.6375086307525635,0.6096749305725098","0.4869295656681061,0.6017870306968689","0.6120766401290894,0.6018794775009155","0.5104125738143921,0.6017259955406189","0.6090310215950012,0.7259229421615601","0.5320462584495544,0.709891676902771","0.6111809015274048,0.8410694003105164","0.5500338673591614,0.8105614185333252","0.6072064638137817,0.8525346517562866","0.5624915957450867,0.8239609599113464","0.6260834336280823,0.89030522108078","0.5232208371162415,0.8468913435935974"
6,"0.5564850568771362,0.39245039224624634","0.5652915835380554,0.3819359838962555","0.571994960308075,0.38171663880348206","0.5776913166046143,0.3816800117492676","0.5462706089019775,0.38291844725608826","0.5396941900253296,0.3832651972770691","0.5331700444221497,0.3837739825248718","0.5875234007835388,0.386849582195282","0.5233199000358582,0.39064738154411316","0.5701994299888611,0.4023187756538391","0.5435754060745239,0.4032805860042572","0.6456470489501953,0.44466662406921387","0.47233542799949646,0.45163699984550476","0.6687679886817932,0.5196572542190552","0.4662102460861206,0.52892005443573","0.6569559574127197,0.595306932926178","0.4764200448989868,0.5942638516426086","0.6551570892333984,0.6180294752120972","0.4817635118961334,0.6146360039710999","0.6406277418136597,0.6167536377906799","0.48794302344322205,0.6124987006187439","0.6367551684379578,0.6103057861328125","0.4892396330833435,0.6068096160888672","0.6124589443206787,0.6020125150680542","0.5107150673866272,0.601651132106781","0.6094224452972412,0.7260677814483643","0.532991349697113,0.7093749046325684","0.611530065536499,0.841537356376648","0.5498286485671997,0.8099460005760193","0.6073122024536133,0.852833092212677","0.5619843006134033,0.8225084543228149","0.6271221041679382,0.8918305039405823","0.5241029262542725,0.8466725945472717"
7,"0.5582811236381531,0.3908945620059967","0.5675817728042603,0.38058528304100037","0.5742269158363342,0.38065579533576965","0.5795407891273499,0.38081467151641846","0.5481123328208923,0.3812377452850342","0.541450023651123,0.38150715827941895","0.534980058670044,0.381775438785553","0.5903026461601257,0.386409193277359","0.5247656106948853,0.38875773549079895","0.5721845626831055,0.4010132849216461","0.5451757311820984,0.40175101161003113","0.6482251882553101,0.44466227293014526","0.47451052069664,0.45110228657722473","0.6705020666122437,0.521018922328949","0.4681422710418701,0.528503954410553","0.6594591736793518,0.5980445146560669","0.4773164391517639,0.5936942100524902","0.6577823758125305,0.6206200122833252","0.4807409644126892,0.614318311214447","0.6434693932533264,0.6198320984840393","0.48686930537223816,0.6120829582214355","0.6393139362335205,0.6133423447608948","0.4887513816356659,0.605966329574585","0.6126381158828735,0.6034416556358337","0.5108703374862671,0.6020324230194092","0.609545111656189,0.7277566194534302","0.5314182043075562,0.7090874910354614","0.6122323870658875,0.8434756994247437","0.5489386916160583,0.809657871723175","0.6079341769218445,0.8553953170776367","0.5616127252578735,0.8225646615028381","0.6285108923912048,0.8937052488327026","0.5229142308235168,0.8474196791648865"
8,"0.5600475072860718,0.3916049897670746","0.5696871876716614,0.38120678067207336","0.5762134194374084,0.3812364637851715","0.5815528631210327,0.38130322098731995","0.5499513149261475,0.381757915019989","0.5432228446006775,0.3819374442100525","0.5367476344108582,0.38207104802131653","0.5926656723022461,0.3865970969200134","0.5266767740249634,0.3884640336036682","0.5738524794578552,0.40179017186164856","0.5469726920127869,0.40205270051956177","0.6497607231140137,0.44372138381004333","0.4758042097091675,0.4494474232196808","0.6754760146141052,0.519147515296936","0.4693048596382141,0.5281370878219604","0.6623862981796265,0.5955033302307129","0.47824499011039734,0.5958909392356873","0.6599894762039185,0.6192046999931335","0.4805130958557129,0.6176329851150513","0.6467913389205933,0.6172532439231873","0.4874893128871918,0.6151006817817688","0.6432080864906311,0.609988808631897","0.48935508728027344,0.6081211566925049","0.6128132939338684,0.6039758920669556","0.5113402605056763,0.6022542119026184","0.6098740100860596,0.7283426523208618","0.5292366743087769,0.7089552879333496","0.6121991276741028,0.8426747918128967","0.547616183757782,0.8088586926460266","0.6078928709030151,0.8540045619010925","0.5611894130706787,0.8218837380409241","0.6280815005302429,0.8942330479621887","0.5216599702835083,0.8463975191116333"
9,"0.5608586072921753,0.391589879989624","0.5701597332954407,0.38131681084632874","0.5768296718597412,0.3813794255256653","0.5819905996322632,0.38139432668685913","0.5505940914154053,0.3817611336708069","0.5435139536857605,0.3819546699523926","0.5369360446929932,0.38219767808914185","0.5933857560157776,0.38676193356513977","0.5272349119186401,0.3881901204586029","0.5740700364112854,0.4025491178035736","0.5484185218811035,0.40249040722846985","0.6504144668579102,0.4449400305747986","0.47677481174468994,0.4487747550010681","0.6830552816390991,0.5191512107849121","0.4703873097896576,0.5282480716705322","0.6642448902130127,0.5943146347999573","0.47879713773727417,0.5947552919387817","0.6606878042221069,0.6181662082672119","0.4821411073207855,0.6165974736213684","0.6480032801628113,0.6167400479316711","0.48895516991615295,0.6146635413169861","0.6451840996742249,0.6095380783081055","0.49057942628860474,0.6077067255973816","0.6133754849433899,0.6051120162010193","0.5122410655021667,0.6028339266777039","0.6109946966171265,0.7288457155227661","0.5293862819671631,0.7118435502052307","0.6123549938201904,0.8436429500579834","0.5478448867797852,0.8093965649604797","0.6077486872673035,0.8548777103424072","0.5617090463638306,0.8220330476760864","0.627937376499176,0.8959711790084839","0.5209446549415588,0.8468203544616699"
10,"0.563100278377533,0.3899189531803131","0.5716433525085449,0.38021543622016907","0.5778700113296509,0.38022786378860474","0.5845723748207092,0.3802933096885681","0.5529585480690002,0.38078004121780396","0.5458911061286926,0.38100290298461914","0.5390728712081909,0.38134926557540894","0.5972906947135925,0.3860933184623718","0.530324399471283,0.3873046338558197","0.5754651427268982,0.40106868743896484","0.5518456101417542,0.4007367193698883","0.6552457809448242,0.4447632431983948","0.481301873922348,0.4482273757457733","0.6892658472061157,0.5192434787750244","0.47068557143211365,0.5263495445251465","0.6656882166862488,0.5962196588516235","0.48059070110321045,0.59141606092453","0.6607499718666077,0.6212625503540039","0.4842489957809448,0.613479495048523","0.6468920111656189,0.6195844411849976","0.49036896228790283,0.6118910908699036","0.6444403529167175,0.6119467616081238","0.4916945993900299,0.6043713688850403","0.6160565614700317,0.6052430868148804","0.5141241550445557,0.6026319265365601","0.6132429838180542,0.7297072410583496","0.5300348997116089,0.7146151661872864","0.6129023432731628,0.8442552089691162","0.5486745834350586,0.8110588192939758","0.6083770990371704,0.8550878167152405","0.5624287724494934,0.822913408279419","0.6277994513511658,0.8969406485557556","0.5210105180740356,0.8483892679214478"
