Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
11,"0.5449492335319519,0.2959575057029724","0.5611830949783325,0.28358176350593567","0.570426344871521,0.28409793972969055","0.5781134963035583,0.2847588360309601","0.535632848739624,0.2823055386543274","0.527576744556427,0.2818763852119446","0.5199528336524963,0.28150492906570435","0.5894190073013306,0.2879798710346222","0.5117518305778503,0.28278490900993347","0.5596168041229248,0.30978497862815857","0.5276750922203064,0.30959099531173706","0.6581991314888,0.34760066866874695","0.44588640332221985,0.34791383147239685","0.7103785872459412,0.4295176565647125","0.4483988583087921,0.440596342086792","0.684360921382904,0.48971080780029297","0.44867053627967834,0.5081195831298828","0.6737276315689087,0.5150193572044373","0.4434471130371094,0.5338367223739624","0.6620582342147827,0.5090416669845581","0.45023313164711,0.5337697267532349","0.66136234998703,0.5004521608352661","0.4484237730503082,0.5265779495239258","0.6070200800895691,0.5201164484024048","0.49728697538375854,0.5222423076629639","0.605215311050415,0.66652911901474","0.4707038104534149,0.661723256111145","0.5606545209884644,0.8123836517333984","0.501805305480957,0.801799476146698","0.5509787201881409,0.8289366960525513","0.5085147023200989,0.8163349032402039","0.5376890897750854,0.8612393140792847","0.4879269599914551,0.848399817943573"
12,"0.548582136631012,0.2953278422355652","0.5641089081764221,0.2830237150192261","0.5726783871650696,0.2834961712360382","0.5795338749885559,0.28404688835144043","0.5383013486862183,0.28160756826400757","0.5294094681739807,0.2810606062412262","0.5213329792022705,0.2805491089820862","0.5900230407714844,0.2867138981819153","0.511683464050293,0.28160560131073","0.562820315361023,0.30903762578964233","0.52928626537323,0.30925679206848145","0.6577945947647095,0.34674322605133057","0.444841206073761,0.3477316200733185","0.7107829451560974,0.4277273118495941","0.44792935252189636,0.4407246708869934","0.685275137424469,0.48911842703819275","0.44748255610466003,0.5096088647842407","0.674793541431427,0.5132339000701904","0.4429451823234558,0.5348984003067017","0.6642158031463623,0.5064216256141663","0.4493544399738312,0.534302830696106","0.6628559827804565,0.499446302652359","0.4492635130882263,0.5281306505203247","0.60691237449646,0.5200024843215942","0.4954024851322174,0.5216580629348755","0.6050775051116943,0.6700020432472229","0.4743945598602295,0.6623882055282593","0.5637556314468384,0.8134933710098267","0.4830980598926544,0.8132253885269165","0.5548127293586731,0.8274590373039246","0.48836374282836914,0.8280574679374695","0.5376281142234802,0.8631231188774109","0.4800003468990326,0.8617829084396362"
13,"0.5490738749504089,0.2936703562736511","0.5642231106758118,0.2812028229236603","0.5727947950363159,0.2815268635749817","0.579569399356842,0.28196197748184204","0.5385658144950867,0.28000739216804504","0.5296078324317932,0.2794516682624817","0.5214815139770508,0.2789791524410248","0.5900036096572876,0.2841918170452118","0.5114592909812927,0.27999070286750793","0.5634909272193909,0.30681902170181274","0.5296765565872192,0.30732786655426025","0.6578303575515747,0.34607237577438354","0.4433589577674866,0.34702593088150024","0.711258590221405,0.4272385537624359","0.4440940022468567,0.44044050574302673","0.6857236623764038,0.48901787400245667","0.4464748799800873,0.510260820388794","0.6749131679534912,0.513546347618103","0.4421611726284027,0.5351145267486572","0.6642061471939087,0.5073223114013672","0.44956350326538086,0.5343369841575623","0.6629605889320374,0.49990224838256836","0.4497833251953125,0.5284921526908875","0.6071971654891968,0.5210523009300232","0.49342453479766846,0.5221182703971863","0.6051514148712158,0.6804593205451965","0.4767266511917114,0.6729626059532166","0.5643481612205505,0.8152559399604797","0.4646590054035187,0.8183132410049438","0.5547714233398438,0.8278018832206726","0.46246862411499023,0.8329058885574341","0.5382741689682007,0.8711695671081543","0.4753357470035553,0.8741810917854309"
14,"0.5493589043617249,0.2922442555427551","0.5641543865203857,0.27967554330825806","0.5727275013923645,0.2798886001110077","0.5795454382896423,0.28023773431777954","0.5386125445365906,0.2787725329399109","0.5296305418014526,0.27829134464263916","0.5214719176292419,0.2778704762458801","0.5895952582359314,0.28234532475471497","0.5109378099441528,0.27910035848617554","0.563690185546875,0.3055795729160309","0.529905378818512,0.3061486780643463","0.6578531861305237,0.34580138325691223","0.4421268403530121,0.34689921140670776","0.7108958959579468,0.4272933602333069","0.441262811422348,0.4397553503513336","0.6855795383453369,0.48954886198043823","0.44661542773246765,0.5110424160957336","0.6737191677093506,0.5143663287162781","0.44331029057502747,0.5352949500083923","0.66374671459198,0.5087606310844421","0.45132696628570557,0.5347405076026917","0.6627017259597778,0.5000132322311401","0.4526788890361786,0.5288490653038025","0.6067103147506714,0.5210596323013306","0.4916384518146515,0.5220465660095215","0.6043409109115601,0.6799965500831604","0.47800126671791077,0.6721921563148499","0.5643187761306763,0.8163113594055176","0.45563435554504395,0.8173754811286926","0.553688108921051,0.8279258608818054","0.45124417543411255,0.8326226472854614","0.5385515689849854,0.8716835975646973","0.46958133578300476,0.8705412745475769"
15,"0.5493650436401367,0.2905065417289734","0.5636714696884155,0.2780652642250061","0.5720589756965637,0.27818062901496887","0.5788264274597168,0.2784653902053833","0.5385904312133789,0.2775588631629944","0.529611349105835,0.2772383987903595","0.5214526653289795,0.2769100069999695","0.5874804854393005,0.2807207703590393","0.5106826424598694,0.27865833044052124","0.5636577010154724,0.3039322793483734","0.5305076837539673,0.3047062158584595","0.6576653122901917,0.3455851674079895","0.4417244493961334,0.3468016982078552","0.7086611986160278,0.4279883801937103","0.43886598944664,0.4392125606536865","0.6800211668014526,0.4982298016548157","0.4479549527168274,0.5107706785202026","0.668040931224823,0.5227900743484497","0.4460065960884094,0.5351002812385559","0.6571019291877747,0.5193229913711548","0.4559134244918823,0.533916711807251","0.6555992960929871,0.5108733177185059","0.45844653248786926,0.5275136828422546","0.6004273891448975,0.5203319191932678","0.49176543951034546,0.5210505127906799","0.5985729098320007,0.6770771741867065","0.47704017162323,0.6715202927589417","0.5597782731056213,0.8167734146118164","0.45667868852615356,0.8150846362113953","0.552448034286499,0.8280798196792603","0.44196975231170654,0.8302810788154602","0.5392252802848816,0.8698751330375671","0.4640785753726959,0.8671658635139465"
16,"0.5496625304222107,0.29086676239967346","0.56364506483078,0.27820390462875366","0.5720304846763611,0.2782585024833679","0.5787569880485535,0.2784845232963562","0.5385736227035522,0.2778663635253906","0.5296002626419067,0.27761098742485046","0.5214364528656006,0.27735665440559387","0.5871755480766296,0.28070372343063354","0.5101490616798401,0.27910828590393066","0.5639735460281372,0.3041382431983948","0.5308393239974976,0.3051627278327942","0.6576848030090332,0.34552881121635437","0.4413677752017975,0.34674715995788574","0.7075437307357788,0.4281369149684906","0.43605872988700867,0.4390428066253662","0.6777439713478088,0.4995693266391754","0.44804027676582336,0.5108165740966797","0.6661219000816345,0.5244319438934326","0.44663047790527344,0.5350295305252075","0.6552825570106506,0.5206848382949829","0.45702770352363586,0.5337701439857483","0.65407794713974,0.5126080513000488","0.4599728584289551,0.5270802974700928","0.6001269221305847,0.5203371644020081","0.49124935269355774,0.5208429098129272","0.5984469652175903,0.6764010787010193","0.4769138693809509,0.6704303026199341","0.5593720078468323,0.8167949914932251","0.4566609561443329,0.8140751123428345","0.5505090951919556,0.8275482058525085","0.44724658131599426,0.8289562463760376","0.5397783517837524,0.8696409463882446","0.46954816579818726,0.864967942237854"
17,"0.5491561889648438,0.2906677722930908","0.5624375343322754,0.27791452407836914","0.5708239078521729,0.27795740962028503","0.5778020024299622,0.2782204747200012","0.5375407934188843,0.2776654362678528","0.528874397277832,0.27747175097465515","0.5205460786819458,0.27725470066070557","0.5858368873596191,0.2807714641094208","0.5095444321632385,0.2793097198009491","0.5636568665504456,0.3039698302745819","0.5307377576828003,0.3050340414047241","0.6577001810073853,0.34593889117240906","0.4404754638671875,0.34678736329078674","0.704526424407959,0.43363064527511597","0.4337434470653534,0.43920063972473145","0.6669976115226746,0.5111600160598755","0.44984468817710876,0.5142210125923157","0.6557649970054626,0.5357540845870972","0.45140618085861206,0.5370005369186401","0.6402292847633362,0.5339643359184265","0.4623543620109558,0.5348242521286011","0.6364775896072388,0.5260767936706543","0.4648873507976532,0.5281341671943665","0.598176121711731,0.5203487873077393","0.491301566362381,0.5206416845321655","0.597378134727478,0.6732876896858215","0.47773051261901855,0.6652323603630066","0.5562833547592163,0.812219500541687","0.46355047821998596,0.8013945817947388","0.5456756353378296,0.8205477595329285","0.4573495090007782,0.8177272081375122","0.5410695672035217,0.8650181889533997","0.47267138957977295,0.857343316078186"
18,"0.5477176308631897,0.2910770773887634","0.5603728294372559,0.27831190824508667","0.5684244632720947,0.27834975719451904","0.5760120749473572,0.27861565351486206","0.5357574224472046,0.2780674993991852","0.5275657176971436,0.2778688073158264","0.5191014409065247,0.2776561379432678","0.583882749080658,0.2811390459537506","0.5087913274765015,0.2795477509498596","0.5622375011444092,0.3042096793651581","0.5301633477210999,0.30523794889450073","0.657698392868042,0.3461267352104187","0.44030892848968506,0.34675052762031555","0.6973683834075928,0.4360543191432953","0.42513465881347656,0.43833932280540466","0.6605342030525208,0.5157357454299927","0.44835320115089417,0.5144535899162292","0.6513093113899231,0.5406022667884827","0.451002836227417,0.5372251272201538","0.6326301097869873,0.5394554734230042","0.46220389008522034,0.5348466634750366","0.6293405294418335,0.531913161277771","0.46467769145965576,0.5281463861465454","0.5983819961547852,0.5203582644462585","0.49062952399253845,0.5205711126327515","0.5973266959190369,0.6722130179405212","0.47815752029418945,0.6606218814849854","0.556287407875061,0.810753345489502","0.46704062819480896,0.793365478515625","0.5459443926811218,0.8188769221305847","0.45839571952819824,0.8108458518981934","0.5294212102890015,0.8598513603210449","0.47051358222961426,0.8444572687149048"
19,"0.5471309423446655,0.29145023226737976","0.559205949306488,0.2785155475139618","0.5668576955795288,0.27849000692367554","0.5745081305503845,0.27867281436920166","0.5353013277053833,0.278337299823761","0.5272402167320251,0.2781357765197754","0.5187203884124756,0.2779220640659332","0.5811919569969177,0.2820822596549988","0.5083596110343933,0.27973052859306335","0.560146689414978,0.30448418855667114","0.5296552181243896,0.30549147725105286","0.6541844010353088,0.3478991389274597","0.4379814565181732,0.34787648916244507","0.68454509973526,0.43991994857788086","0.4204954504966736,0.44201022386550903","0.6499841213226318,0.51908278465271","0.44839978218078613,0.5216670036315918","0.6407100558280945,0.5420540571212769","0.4522326588630676,0.5414131879806519","0.6207188367843628,0.5413830280303955","0.4655647277832031,0.5390302538871765","0.6183903813362122,0.534738302230835","0.46704429388046265,0.5328747034072876","0.597322404384613,0.5221279859542847","0.4906950294971466,0.5244730114936829","0.5935148596763611,0.6754284501075745","0.48285454511642456,0.6705746650695801","0.5563734173774719,0.8111382722854614","0.4711318910121918,0.7972737550735474","0.5473184585571289,0.8235460519790649","0.4716210663318634,0.8125637173652649","0.5298680067062378,0.8628104329109192","0.4827403724193573,0.8555439710617065"
20,"0.5461752414703369,0.2915600836277008","0.5583561062812805,0.2790547013282776","0.5660901665687561,0.27924680709838867","0.5737138986587524,0.27965855598449707","0.5343048572540283,0.278455913066864","0.5261094570159912,0.27818235754966736","0.5172039270401001,0.2779780626296997","0.5794289708137512,0.28410157561302185","0.5063161849975586,0.28030410408973694","0.5580564737319946,0.3048148453235626","0.5276826024055481,0.3055368661880493","0.6484910249710083,0.35022449493408203","0.43007829785346985,0.3500821590423584","0.672597348690033,0.44332045316696167","0.41782310605049133,0.44527357816696167","0.648324728012085,0.5203797817230225","0.44802039861679077,0.525380551815033","0.6412433981895447,0.5442146062850952","0.4522305727005005,0.546733021736145","0.6244626045227051,0.5442996621131897","0.46657171845436096,0.5444030165672302","0.6203724145889282,0.537047266960144","0.46768301725387573,0.5376599431037903","0.5975123643875122,0.5248435735702515","0.4880795478820801,0.5285618901252747","0.5904918909072876,0.6795318722724915","0.4832511842250824,0.6779287457466125","0.5564954280853271,0.8186686635017395","0.47525855898857117,0.819582462310791","0.54682457447052,0.8374426960945129","0.4774942696094513,0.8361778259277344","0.5376891493797302,0.8735697865486145","0.49519410729408264,0.87794429063797"
